ski	ski	esqui	esquí					[sound:thesaurus-ski.mp3]		esqui,esquiar	/<span class="ipa dipa">ski</span>/	[sound:cambridge-ski.mp3]		(2248)esquí,(997)ski,(431)de esqui,(408)esquiar,(64)esquis,(15)jet-ski,(11)esquiador,(11)pista,(9)neve,(8)Pratique esqui,(8)esquiadores,(7)fazer esqui,(0)andar de esqui,		one of a pair of long narrow strips of wood etc that are attached to the feet for gliding over snow, water etc	esqui,esquí,esquiar
ships	ʃɪps	navios,enviado	buques,los buques	ʃɪp 	ship 	send, transport	<b>transfer,move,dispatch,haul,export,shift,transmit,smuggle</b>	[sound:thesaurus-ships.mp3]		navio	/<span class="ipa dipa">ʃɪp</span>/	[sound:cambridge-ship.mp3]		(11493)navios,(3610)naves,(868)barcos,(597)embarcações,(191)navio,(171)nave,(87)naus,(85)Ships,(66)veleiros,(52)envia,(48)frota,(35)cargueiros,(29)vem,(29)barco,(25)naves-base,(null),			
ranch	rænʧ	rancho,fazenda	rancho	ræntʃ 	ranch 	farm	<b>plantation,land,estate,dairy farm,homestead</b>	[sound:thesaurus-ranch.mp3]		rancho	/<span class="ipa dipa">ræntʃ</span>/	[sound:cambridge-ranch.mp3]		(2303)rancho,(715)fazenda,(350)Ranch,(164)quinta,(58)sítio,(38)estância,(24)molho,(13)rancheiro,(10)haras,(7)racho,(5)chácara,		a farm, especially one in North America for rearing cattle or horses	fazenda
practicing	ˈpræktəsɪŋ	praticando	practicando,la práctica de	ˈpræk tɪ sɪŋ 	<span class="bold">prak</span>-ti-sing 	repeat action to improve,carry out; undertake	<b>hone,rehearse,prepare,study,work,train,work out,exercise,warm up,</b><b>do,execute,perform,pursue,observe,follow,apply,work at,engage in</b>	[sound:thesaurus-practicing.mp3]		prática,treino,ensaio,estar fora de forma,na prática,ortografia americana de “practise”	/<span class="ipa dipa">ˈpræk·tɪs</span>/	[sound:cambridge-practice.mp3]		(900)praticar,(874)praticando,(444)prática,(214)treinar,(115)praticado,(101)praticante,(86)treinando,(70)praticam,(65)exercer,(64)ensaiar,(32)praticava,(28)ensaiando,(23)treinado,(22)pratico,(10)ensaiado,			
musical	ˈmjuzɪkəl	musical	musical	ˈmyu zɪ kəl 	<span class="bold">myoo</span>-zi-k<span class="italic">uh</span>l 	harmonic, lyrical	<b>rhythmic,melodic,symphonic,vocal,choral,operatic</b>	[sound:thesaurus-musical.mp3]		musical,com talento musical	/<span class="ipa dipa">ˈmju·zɪ·kəl</span>/	[sound:cambridge-musical.mp3]		(13568)musical,(540)música,(44)músico,(44)trilha,(30)dança,(14)musicalmente,(9)musicaI,(7)sonoro,		the art of arranging and combining sounds able to be produced by the human voice or by instruments,the written form in which such tones etc are set down,of or producing music,like music, especially in being pleasant to hear,(of a person) having a talent for music,a film or play that includes a large amount of singing, dancing etc	musical,música,dotado para a música
movement	ˈmuvmənt	movimento	movimiento	ˈmuv mənt 	<span class="bold">moov</span>-m<span class="italic">uh</span>nt 	motion, activity,drive, campaign	<b>development,evolution,shift,move,flow,exercise,act,action,progress,operation,change,migration,</b><b>evolution,group,faction,trend,shift,flow,transfer,unrest,crusade,tendency,party,organization,demonstration,change</b>	[sound:thesaurus-movement.mp3]		movimento	/<span class="ipa dipa">ˈmuv·mənt</span>/	[sound:cambridge-eus73104.mp3]		(36630)movimento,(8177)circulação,(780)movimentação,(330)deslocação,(239)Movement,(136)transporte,(120)andamento,(120)deslocamento,(112)mobilidade,(99)mecanismo,(57)Movimento-de-Junho,(52)transferência,(52)acompanhamento,(50)trânsito,(39)circular,(null),		to (cause to) change position or go from one place to another,to change houses,to affect the feelings or emotions of,(in board games) an act of moving a piece,an act of changing homes	movimento,mudar,comover-se,jogada,mudança
Lynne	lɪn	Lynne	Lynne					[sound:thesaurus-Lynne.mp3]						(489)Lynne,			
individual	ˌɪndəˈvɪʤəwəl	individual	individual	ˌɪn dəˈvɪdʒ u əl 	in-d<span class="italic">uh</span>-<span class="bold">vij</span>-oo-<span class="italic">uh</span>l 	distinctive, exclusive,singular person, thing	<b>respective,singular,personal,sole,lone,specific,single,separate,particular,original,special,</b><b>woman,human being,entity,person,child,party,man</b>	[sound:thesaurus-individual.mp3]		individual,indivíduo,pessoa	/<span class="ipa dipa">ˌɪn·dəˈvɪdʒ·u·əl</span>/	[sound:cambridge-individual.mp3]		(30993)individual,(11206)indivíduo,(3296)cada,(1451)pessoa,(831)diferentes,(467)particular,(443)vários,(311)pessoal,(238)diversos,(148)sujeito,(120)singular,(112)determinado,(92)cidadão,(87)individualizado,(66)isolada,(23)personalizada,		single; separate,intended for, used by etc one person etc,special to one person etc, showing or having special qualities,a single person in contrast to the group to which he belongs,a person	individual,indivíduo,pessoal
homes	hoʊmz	casas	hogares,casas	hoʊm 	hohm 	place where a human lives,birthplace, environment	<b>hut,dormitory,apartment,dwelling,palace,resort,shelter,house,hospital,cottage,farm,condominium,place,trailer,residence,mansion,cabin,condo,</b><b>land,neighborhood,family,farm,country,household,site,hometown</b>	[sound:thesaurus-homes.mp3]		lar,casa,asilo,sentir-se em casa,sentir-se à vontade,para casa,em casa,endereço/número de telefone de casa,caseiro	/<span class="ipa dipa">hoʊm</span>/	[sound:cambridge-home.mp3]		(7312)casas,(1875)lares,(902)casa,(490)residências,(272)habitações,(199)Homes,(142)lar,(128)repousos,(82)mano,(74)moradias,(68)domicílio,(62)asilos,(56)orfanatos,(45)moradas,(14)bacano,(null),		the house, town, country etc where a person etc usually lives,the place from which a person, thing etc comes originally,a place where children without parents, old people, people who are ill etc live and are looked after,a place where people stay while they are working,a house,of a person's home or family,of the country etc where a person lives,(in football) playing or played on a team's own ground,to a person's home,completely; to the place, position etc a thing is intended to be	lar,para casa,casa,pátria,caseiro,local,em casa,em/para casa,completamente
executed	ˈɛksəˌkjutəd	executado	ejecutado	ˈɛk sɪˌkyut 	<span class="bold">ek</span>-si-kyoot 	performed,formally put to death	<font color="#cccccc">accomplished,completed,done,finished,</font><font color="#cccccc">shot,crucified,electrocuted,hanged,guillotined,beheaded,fried,killed,garroted,gassed</font>	[sound:thesaurus-executed.mp3]		executar	/<span class="ipa dipa">ˈek·sɪˌkjut</span>/	[sound:cambridge-eus75721.mp3]		(3870)executado,(392)executou,(220)execução,(182)executaram,(171)executar,(118)realizado,(57)executa,(44)executamos,(35)cumprido,(34)executei,(32)realizou,(24)executando,(21)fuzilado,(16)executam,(7)justiçado,			
examine	ɪgˈzæmɪn	examinar	examinar	ɪgˈzæm ɪn 	ig-<span class="bold">zam</span>-in 	analyze, test,ask questions pointedly	<b>consider,scan,probe,scrutinize,check,ponder,review,research,read,screen,inspect,explore,audit,criticize,study,check out,try,investigate,survey,view,delve into,vet,pore over,</b><b>try,check,measure</b>	[sound:thesaurus-examine.mp3]		examinar,estudar,sabatinar	/<span class="ipa dipa">ɪɡˈzæm·ɪn</span>/	[sound:cambridge-examine.mp3]		(6816)examinar,(1841)analisar,(291)estudar,(180)verificar,(96)avaliar,(67)apreciar,(65)ver,(59)investigar,(58)aprofundar,(36)averiguar,(29)ponderar,(26)interrogar,(23)considerar,(13)debruçar-se sobre,(5)inspecionar,(2)buscar,(null),		to look at closely; to inspect closely,(of a doctor) to inspect the body of thoroughly to check for disease etc,to consider carefully,to test the knowledge or ability of (students etc),to question	examinar,interrogar
documents	ˈdɑkjəmənts	documentos	documentos	<span class="luna-pos">noun</span> ˈdɒk yə mənt; <span class="luna-pos">verb</span> ˈdɒk yəˌmɛnt 	<span class="luna-pos">noun</span> <span class="bold">dok</span>-y<span class="italic">uh</span>-m<span class="italic">uh</span>nt; <span class="luna-pos">verb</span> <span class="bold">dok</span>-y<span class="italic">uh</span>-ment 	written communication,record	<b>form,certificate,script,evidence,record,paper,diary,testimony,report,archive,</b><b>detail,chronicle,cite</b>	[sound:thesaurus-documents.mp3]		documento	/<span class="ipa dipa">ˈdɑ·kjə·mənt</span>/	[sound:cambridge-eus71352.mp3]		(33552)documentos,(828)documentação,(478)documento,(293)documenta,(156)originais,(156)actos,(142)documents,(108)textos,(96)papéis,(90)atos,(48)peças,(45)documental,(35)arquivos,(11)fichas,(11)escritos,(null),			documentos
cranes	kreɪnz	guindastes	grullas,grúas	kreɪn 	kreyn 	extend, elongate,make larger, longer	<b>pull,draw,run,widen,reach,swell,develop,cover,lengthen,strain,spread,unfold,go,span,open,grow,expand,fill,</b><b>prolong,last,widen,stretch,boost,broaden,develop,lengthen,enlarge,increase,spread,continue,take,go on,enhance,open,expand</b>	[sound:thesaurus-cranes.mp3]		guindaste	/<span class="ipa dipa">kreɪn</span>/	[sound:cambridge-crane.mp3]		(676)guindastes,(256)gruas,(132)guindaste,(72)grous,(63)Cranes,(40)pontes rolantes,(13)garças,(8)cegonhas,(6)tsurus,		a machine with a long arm and a chain, for raising heavy weights,to stretch out (the neck, to see round or over something)	garça,grou,guindaste,esticar
column	ˈkɑləm	coluna	columna	ˈkɒl əm 	<span class="bold">kol</span>-<span class="italic">uh</span>m 	line, procession,pillar	<b>list,file,</b><b>monument</b>	[sound:thesaurus-column.mp3]		coluna	/<span class="ipa dipa">ˈkɑ·ləm</span>/	[sound:cambridge-column.mp3]		(10313)coluna,(95)Quinta-Coluna,(87)pilar,(75)artigo,(68)column,(29)crónica,(17)colunista,(14)pluma,(8)fileira,(7)coIuna,		a stone or wooden pillar used to support or adorn a building,something similar in shape,a vertical row (of numbers),a vertical section of a page of print,a section in a newspaper, often written regularly by a particular person,a long file of soldiers marching in short rows,a long line of vehicles etc, one behind the other	coluna,fila
bribe	braɪb	suborno	soborno	braɪb 	brahyb 	payoff to influence illegal or wrong activity,request silence, action, or inaction for money	<b>gift,kickback,perk,gratuity,blackmail,incentive,compensation,hush money,reward,inducement,graft,</b><b>buy off,seduce,entice,tempt,corrupt,pay off</b>	[sound:thesaurus-bribe.mp3]		suborno	/<span class="ipa dipa">brɑɪb</span>/	[sound:cambridge-bribe.mp3]		(810)suborno,(680)subornar,(73)propina,(55)subornar-me,(50)suborná-lo,(12)suborná-la,(10)Bribe,(10)comprar,(8)corromper,(3)aliciar,		a gift offered to persuade a person to do something, usually dishonest,to give (someone) a bribe	subornar,suborno
beers	bɪrz	cervejas	cervezas	bɪərz 	beerz 	alcoholic beverage made from malted grain	<font color="#cccccc">lager,oil,ale,stout,suds,brew,chill,hops,malt</font>	[sound:thesaurus-beers.mp3]		cerveja	/<span class="ipa dipa">bɪər</span>/	[sound:cambridge-beer.mp3]		(2236)cervejas,(366)cerveja,(210)Beers,(10)beber,(8)copos,(5)cervejolas,		a type of alcoholic drink made from malted barley flavoured with hops	cerveja
task	tæsk	tarefa	tarea	tæsk, tɑsk 	task, tahsk 	job or chore, often assigned,assign, burden	<b>duty,function,business,undertaking,work,project,responsibility,burden,assignment,effort,exercise,</b><font color="#cccccc">load,lade,weight,encumber,exhaust,saddle,tax,overload,weary,strain,charge,push,test,weigh,entrust,oppress</font>	[sound:thesaurus-task.mp3]		tarefa	/<span class="ipa dipa">tæsk</span>/	[sound:cambridge-task.mp3]		(19266)tarefa,(2040)missão,(969)trabalho,(757)função,(690)task,(270)dever,(162)compete,(97)compromisso,(92)cabe,(88)atribuição,(81)encargo,(74)incumbência,(53)empenho,(44)cargo,(29)incumbir,(8)medida,		a piece of especially hard work; a duty that must be done	tarefa
species	ˈspiʃiz	espécies	especies	ˈspi ʃiz, -siz 	<span class="bold">spee</span>-sheez, -seez 	class, variety	<font color="#cccccc">sort,category,kind,group,description,division,breed,number,collection,lot,type,order,nature,stripe,likes</font>	[sound:thesaurus-species.mp3]		espécie	/<span class="ipa dipa">ˈspi·ʃiz</span>/	[sound:cambridge-species.mp3]		(43865)espécie,(167)Species,(162)espécies-alvo,(103)espécie-tipo,(66)extinção,(60)animais,(43)espécie-alvo,(41)raça,(30)tipo,(23)espécime,(14)exemplares,(13)ave,(11)espécia,(null),		a group (of animals etc) whose members are so similar or closely related as to be able to breed together,a kind or sort	espécie
sail	seɪl	vela	vela	seɪl 	seyl 	travel through water, air; glide	<b>fly,shoot,move,run,navigate,float,drift,cross,sweep,leave,skim,cruise,reach,steer,soar</b>	[sound:thesaurus-sail.mp3]		navegar,velejar,viajar (em navio/barco à vela),zarpar,partir,vela	/<span class="ipa dipa">seɪl</span>/	[sound:cambridge-sail.mp3]		(1204)navegar,(789)vela,(371)velejar,(157)zarpar,(148)partir,(46)barco,(41)viajar,(27)viagem,(26)embarcar,(26)navegação,(25)pano,(22)navio,(19)veleiro,(17)mar,(11)vélica,(2)velame,		a sheet of strong cloth spread to catch the wind, by which a ship is driven forward,a journey in a ship,an arm of a windmill,(of a ship) to be moved by sails,to steer or navigate a ship or boat,to go in a ship or boat (with or without sails),to begin a voyage,to travel on (the sea etc) in a ship,to move steadily and easily	vela,velejar,pá,passeio de barco,navegar,viajar de barco,partir,viajar,deslocar-se com altivez
rum	rʌm	rum	ron	rʌm 	ruhm 	eccentric	<font color="#cccccc">funny,crazy,oddball,freak,bent,irregular,singular,beat,characteristic,offbeat,queer,wild,weird,aberrant</font>	[sound:thesaurus-rum.mp3]		rum	/<span class="ipa dipa">rʌm</span>/	[sound:cambridge-rum.mp3]		(1832)rum,(28)cachaça,(14)Ru-Ma,(4)pinga,(2)Roma,		a type of alcoholic drink, a spirit made from sugar cane	rum
resort	rɪˈzɔrt	recorrer,resort	recurso,resort	rɪˈzɔrt 	ri-<span class="bold">zawrt</span> 	vacation place,alternative, recourse,have recourse to; make use of	<b>camp,hideaway,harbor,spot,motel,hotel,park,inn,lodge,retreat,</b><font color="#cccccc">refuge,substitute,stopgap,resource,reference,surrogate,expediency,shift,possibility,makeshift,course,chance,relief,expedient,device,opportunity,hope,</font><font color="#cccccc">repair,use,run,recur,devote,try,visit,haunt,direct,utilize,employ,turn,frequent,affect,address,go,apply,exercise</font>	[sound:thesaurus-resort.mp3]		balneário,estância,último caso	/<span class="ipa dipa">rɪˈzɔrt</span>/	[sound:cambridge-resort.mp3]		(5477)resort,(1199)recurso,(1121)recorrer,(735)estância,(236)estação,(153)hotel,(148)balneário,(92)complexo,(59)turístico,(37)empreendimento,(22)aldeamento,(19)localidade,(17)refúgio,(16)balnear,(11)resorte,		(with ) to begin to use, do etc as a way of solving a problem etc when other methods have failed,a place visited by many people (especially for holidays)	resort,recorrer a,local de veraneio
rash	ræʃ	erupção cutânea	erupción	ræʃ 	rash 	careless, impulsive,outbreak of disease or condition	<b>impetuous,foolhardy,ill-considered,thoughtless,indiscreet,bold,hasty,daring,audacious,ill-advised,immature,imprudent,reckless,irrational,</b><b>flood,eruption,epidemic,spate,wave</b>	[sound:thesaurus-rash.mp3]		erupção cutânea,brotoeja,precipitado,imprudente	/<span class="ipa dipa">ræʃ</span>/	[sound:cambridge-rash.mp3]		(689)erupção cutânea,(199)precipitado,(171)rash,(151)erupções cutâneas,(145)exantema,(135)alergia,(109)irritação,(64)imprudente,(58)urticária,(44)prurido,(43)brotoeja,(43)assadura,(41)onda,(34)comichão,(25)eritema,(23)apressado,(10)surto,(7)borbulha,(2)irreflectido,(null),		acting, or done, with little caution or thought,a large number of red spots on the skin	erupção cutânea,imprudente,precipitado,erupção
prescription	prəˈskrɪpʃən	prescrição,receita	prescripción,receta	prɪˈskrɪp ʃən 	pri-<span class="bold">skrip</span>-sh<span class="italic">uh</span>n 	formula, medicine	<b>remedy,instruction,recipe,drug</b>	[sound:thesaurus-prescription.mp3]		receita médica	/<span class="ipa dipa">prɪˈskrɪp·ʃən</span>/	[sound:cambridge-prescription.mp3]		(1655)prescrição,(429)receita médica,(66)remédio,(45)grau,(40)prescrito,(32)medicamento,(26)medicação,(24)Prescription,(23)comprimidos,(21)receituário,(17)graduação,(17)controlados,(14)graduados,(13)receitado,(4)ordem,(null),		to advise or order (the use of),noun,a doctor's (usually written) instructions for the preparing and taking of a medicine,the act of prescribing	receita médica,recomendar,,receita
operating	ˈɑpəˌreɪtɪŋ	operativo,funcionamento	operando,operativo	ˈɒp əˌreɪ tɪŋ 	<span class="bold">op</span>-<span class="italic">uh</span>-rey-ting 	causing to function,functioning,management	<b>running,performing,</b><b>running,working,operational,</b><font color="#cccccc">control,managing</font>	[sound:thesaurus-operating.mp3]		operar,funcionar,acionar	/<span class="ipa dipa">ˈɑp·əˌreɪt</span>/	[sound:cambridge-eus75231.mp3]		(9473)operacional,(3600)funcionamento,(2352)operação,(1789)exploração,(1642)operando,(1374)operar,(788)operativo,(622)que operam,(582)funcionar,(422)opera,(166)cirurgia,(150)utilização,(131)actividade,(79)de operação,(70)operadora,(39)operatório,			
Munson	ˈmʌnsən	Munson	Munson					[sound:thesaurus-Munson.mp3]						(148)Munson,			
Mars	mɑrz	Marte	Marte			hurt, damage	<b>sully,harm,wreck,tarnish,ruin,bruise,taint,impair,spoil,blight,stain,scar</b>	[sound:thesaurus-Mars.mp3]						(5886)Marte,(1451)Mars,(47)Março,(42)marciana,(35)marciano,(30)planeta,(4)sonda,(4)planctôn,			
hush	hʌʃ	silêncio	Cállate,hush	hʌʃ 	huhsh 	quiet,attempt to make quiet	<b>stillness,</b><b>muffle</b>	[sound:thesaurus-hush.mp3]		silêncio,fazer calar,silenciar	/<span class="ipa dipa">hʌʃ</span>/	[sound:cambridge-hush.mp3]		(194)silêncio,(109)calar,(106)Hush,(57)calma,(35)quieto,(22)abafar,(19)acalme-se,(10)silenciar,(8)sossega,(8)Dorme,(7)Chiu,(3)quietude,		be quiet; silence,silence	caluda!,silêncio
fuzzy	ˈfʌzi	difuso	borroso	ˈfʌz i 	<span class="bold">fuhz</span>-ee 	fluffy,out of focus	<b>hairy,furry,</b><b>dim,unclear,misty,murky,faint,hazy,distorted,foggy,obscure,vague,blurred</b>	[sound:thesaurus-fuzzy.mp3]		difuso,desfocado,frisado		[sound:cambridge-fuzzy.mp3]		(285)fuzzy,(147)confuso,(99)difusa,(57)felpudo,(48)peludo,(24)distorcido,(22)difuso,(18)vago,(17)indistinto,(15)desfocado,(12)nebulosa,(7)carapinha,(6)zonzo,(3)penugento,(1)frisada,(null),		a mass of soft, light material such as fine light hair etc,covered with fuzz,indistinct; blurred; not clear	penugem,penugento,impreciso
fragile	ˈfræʤəl	frágil	frágil	ˈfrædʒ əl; <span class="luna-label italic">British</span> ˈfrædʒ aɪl 	<span class="bold">fraj</span>-<span class="italic">uh</span>l; <span class="luna-label italic">British</span> <span class="bold">fraj</span>-ahyl 	breakable, dainty	<b>weak,delicate,feeble,frail</b>	[sound:thesaurus-fragile.mp3]		frágil	/<span class="ipa dipa">ˈfrædʒ·əl</span>/	[sound:cambridge-fragile.mp3]		(4227)frágil,(112)fragilidade,(74)fragilizado,(47)delicado,(32)Fragile,(30)precária,(18)débil,(16)vulneráveis,(16)fraco,(15)sensível,(10)fraca,(9)vulnerável,(8)sensíveis,(null),		easily broken	frágil
forensics	fəˈrɛnsɪks	forense	forense			argumentation	<font color="#cccccc">disputation,rhetoric,debate</font>	[sound:thesaurus-forensics.mp3]		ciência forense	/<span class="ipa dipa">fəˈren.zɪks</span>/	[sound:cambridge-cdo0318usfore1907.mp3]		(333)forense,(258)perícia,(145)peritos,(76)laboratório,(67)Forensics,(25)da perícia,(23)medicina legal,(14)análise,(9)perito,(7)à científica,(6)polícia técnica,(5)criminalística,(5)forênsica,(5)Os técnicos,(null),			
expense	ɪkˈspɛns	despesa,despesas	gastos	ɪkˈspɛns 	ik-<span class="bold">spens</span> 	cost, payment	<b>loan,rate,insurance,price tag,sum,investment,charge,risk,price,liability,expenditure,obligation,debt,tariff,mortgage,loss,outlay,consumption,budget,value,amount,spending,payroll</b>	[sound:thesaurus-expense.mp3]		gasto,gastos	/<span class="ipa dipa">ɪkˈspens</span>/	[sound:cambridge-expense.mp3]		(1329)custa,(858)despesa,(391)expensas,(346)gasto,(172)custo,(115)conta,(72)prejuízo,(37)dinheiro,(25)cargo,(23)expense,(20)preço,(20)caro,(17)desvantagem,(14)prejudicar,(11)dispêndio,(null),		to use or spend (supplies etc)	dispender/gastar
drugged	drʌgd	drogado	drogado	drʌg 	druhg 	under the influence of medication	<b>dazed</b>	[sound:thesaurus-drugged.mp3]		remédio,medicamento,droga	/<span class="ipa dipa">drʌɡ</span>/	[sound:cambridge-drug.mp3]		(622)drogado,(202)drogou,(51)drogaram,(30)drogou-me,(26)droguei,(23)drogaste,(19)drogou-a,(14)drogou-o,(12)drogaram-me,(11)drogar,(11)drogava,(11)dopado,(10)droga,(7)drogou-te,			
