busting	rebentando
despise	desprezar
dental	dental
corporation	corporação
Clint	Clint
cherish	acalentar
carries	carrega
briefing	briefing
bluff	bluff
batteries	baterias
atmosphere	atmosfera
assholes	babacas
whatta	whatta
tux	smoking
Trent	Trent
sounding	sondagem
servants	servidores
rifle	espingarda
presume	presuma
mamie	mamie
Kevin's	Kevin's
Heidi	Heidi
handwriting	caligrafia
goals	objetivos
gin	gin
gale	gale
fainted	desmaiou
elements	elementos
dried	seco
cape	capa
allright	allright
allowing	permitindo
acknowledge	reconheça
whiskey	uísque
whacked	batido
toxic	tóxico
skating	patinação
shepherd	pastor
reliable	confiável
quicker	mais rápido
penalty	penalização
panel	painel
overwhelming	avassaladora
nearby	nas proximidades
Mitchell	Mitchell
lining	forro
importance	importância
ike	ike
harassing	assediando
global	global
Fran	Fran
fatal	fatal
endless	sem fim
elsewhere	em outro lugar
dolls	bonecas
convict	condenado
butler	mordomo
bold	ousado
ballet	balé
ñ	ñ
whatcha	whatcha
unlikely	improvável
spiritual	espiritual
shutting	fechamento
separation	separação
rusty	enferrujado
recording	gravação
positively	positivamente
overcome	superado
mount	monte
Michel	Michel
method	método
manual	manual
helmet	capacete
goddam	maldição
failing	falhando
essence	essência
dose	dose
diagnosis	diagnóstico
cured	curado
claiming	alegando
bully	brigão
airline	companhia aérea
ahold	ahold
yearbook	anuário
various	diversos
triangle	triângulo
tempting	tentador
shelf	prateleira
Shawna	Shawna
rig	equipamento
pursuit	busca
prosecution	processo
pouring	derramando
possessed	possuía
partnership	parceria
november	novembro
Miguel's	Miguel's
Lorenzo	Lorenzo
Lindsay'	Lindsay'.
humble	humilde
greedy	ganancioso
countries	países
wonders	maravilhas
tsk	tsk
thorough	completo
spine	lombada
shotgun	shotgun
reckless	imprudente
Rath	Rath
railroad	estrada de ferro
psychiatric	psiquiátrico
na	na
meaningless	inútil
latte	latte
Kong	Kong
jammed	encravado
ignored	ignorado
fiance	noivo
exposure	exposição
exhibit	exibir
evidently	evidentemente
duties	deveres
contempt	desprezo
compromised	comprometida
capacity	capacidade
cans	latas
weekends	fins de semana
urge	urgência
thunder	trovão
theft	roubo
Sykes	Sykes
suing	processo
shipment	embarque
scissors	tesoura
responding	respondendo
refuses	recusa
proposition	proposta
porter	porteiro
noises	ruídos
matching	correspondente
marine	marinho
Mack	Mack
Lulu	Lulu
located	localizado
leon	leão
legacy	legado
ink	tinta
hormones	hormônios
HIV	HIV
hail	saudação
grandchildren	netos
godfather	padrinho
gently	gentilmente
establish	estabelecer
eastern	oriental
darryl	darryl
crane's	de guindastes
contracts	contratos
compound	composto
Buffy's	Buffy's
worldwide	mundial
smashed	esmagado
sexually	sexualmente
sentimental	sentimental
senor	señor
scored	pontuado
patient's	do paciente
nicest	muito bom
marketing	marketing
manipulated	manipulado
jaw	mandíbula
intern	estagiário
handcuffs	algemas
Freddy	Freddy
framed	emoldurado
errands	recados
entertaining	divertindo
discovery	descoberta
crib	berço
carriage	carruagem
barge	barcaça
awards	prêmios
attending	freqüentando
ambassador	embaixador
videos	vídeos
Thelma	Thelma
tab	tab
spends	gasta
slipping	deslizando
seated	sentado
rubbing	fricção
rely	confie em
reject	rejeitar
recommendation	recomendação
reckon	contar
ratings	classificações
Pam	Pam
McManus	McManus
Klinger	Klinger
headaches	dores de cabeça
Gil	Gil
float	flutuador
embrace	abraçar
corners	esquinas
whining	lamentos
wa	wa
turner	turner
sweating	suando
sole	sola
skipped	pulou
rolf	rolf
restore	restaurar
receiving	recebendo
population	população
pep	
olive	azeitona
mountie	montaria
motives	motivos
mama's	da mamãe
listens	ouve
Korean	Coreano
jeep	jipe
Hudson	Hudson
heroes	heróis
heart's	do coração
Cristobel	Cristobel
controls	controles
cleaner	limpador
cheerleader	cheerleader
Balsom	Bálsamo
au	au
wooden	de madeira
unnecessary	desnecessário
stunning	impressionante
slim	emagrecer
shipping	embarque
scent	cheiro
santa's	santa's
quest	busca
Quartermaine	Quartermaine
praise	elogio
pose	posar
Montega	Montega
luxury	luxo
loosen	afrouxar
Kyle's	Kyle's
Keri's	Keri's
Janice	Janice
info	info
hum	zumbido
hottest	mais quente
haunt	assombrar
Hastings	Hastings
gracious	gracioso
git	git
forgiving	perdoando
fleet	frota
errand	recado
emperor	imperador
Doris	Doris
cakes	bolos
blames	culpas
Beverly	Beverly
abortion	aborto
worship	adoração
theories	teorias
strict	estrito
sketch	esboço
shifts	turnos
Sebastian	Sebastian
plotting	conspiração
physician	médico
perimeter	perimetral
passage	passagem
pals	amigos
Mick	Mick
mere	mero
meg	meg
mattered	importado
Lonigan	Lonigan
longest	o mais longo
jews	judeus
interference	interferência
Hong	Hong
Hamilton	Hamilton
grease	graxa
Gavin	Gavin
eyewitness	testemunha ocular
enthusiasm	entusiasmo
encounter	encontro
diapers	fraldas
Craig's	Craig's
artists	artistas
Alec	Alec
strongest	mais forte
shaken	abalado
serves	serve
punched	perfurado
projects	projetos
portal	portal
outer	exterior
nazi	nazi
Monte	Monte
jewels	jóias
Hal's	Hal's
concrete	concreto
Columbia	Columbia
colleagues	colegas
catches	capturas
carrot	cenoura
bearing	rolamento
backyard	quintal
academic	acadêmico
winds	ventos
whisper	sussurro
volume	volume
terrorists	terroristas
Serena	Serena
September	Setembro
sabotage	sabotagem
pope	papa
pea	pea
organs	órgãos
needy	necessitado
mock	mock
mentor	mentor
measures	medidas
Marvin	Marvin
listed	listado
lex	lex
Kenyon	Kenyon
January	Janeiro
Illinois	Illinois
Forman	Forman
cuff	bofetada
civilization	civilização
Caribbean	Caribe
breeze	brisa
articles	artigos
Adler	Adler
yummy	yummy
writes	escreve
woof	woof
who'll	quem vai
Viki's	Viki's
valid	válido
skipper	Skipper
sands	areias
rarely	raramente
rabbi	rabino
prank	brincadeira
performing	atuando
obnoxious	detestável
mates	companheiros
Jasper	Jasper
improve	melhorar
ii	ii
hereby	pelo presente
gabby	gabby
faked	falsificado
Electra	Electra
cheeks	bochechas
cellar	porão
Broadway	Broadway
whitelighter	whitelighter
void	nulo
trucks	caminhões
tomato	tomate
substance	substância
strangle	estrangular
sour	sour
skill	habilidade
senate	senado
purchase	compra
native	nativo
muffins	muffins
maximum	máximo
interfering	interferindo
hoh	hoh
Gina's	Gina's
fiction	ficção
exotic	exótico
demonic	demoníaco
colored	colorido
clearing	clearing
civilian	civil
Calvin	Calvin
Burke	Burke
buildings	prédios
brooks	riachos
boutique	boutique
Barrington	Barrington
winters	invernos
trading	comercial
terrace	terraço
Suzanne	Suzanne
speaker	orador
smoked	fumado
skiing	esqui
seed	semente
righty	à direita
relations	relações
quack	quack
published	publicado
preliminary	preliminar
Petey	Petey
pact	pacto
outstanding	pendente
opinions	opiniões
Nevada	Nevada
knot	nó
ketchup	ketchup
items	itens
examined	examinado
disappearing	desaparecendo
Cordy	Cordy
coin	moeda
circuit	circuito
Barrett	Barrett
assist	assistência
administration	administração
Walt	Walt
violet	violeta
uptight	rígido
Travis	Travis
ticking	ticking
terrifying	aterrador
tease	brincar
Tabitha's	Tabitha's
Syd	Syd
swamp	pântano
secretly	secretamente
rejection	rejeição
reflection	reflexão
realizing	realizando
rays	raios
Pennsylvania	Pensilvânia
partly	em parte
October	Outubro
mentally	mentalmente
Marone	Marone
jurisdiction	jurisdição
Frasier's	Frasier's
doubted	duvidado
deception	engano
crucial	crucial
congressman	congressista
cheesy	queijoso
chambers	câmaras
bitches	vadias
arrival	chegada
visited	visitado
toto	toto
supporting	apoiando
stalling	empatando
shook	tremeu
scouts	batedores
scoop	scoop
ribbon	fita
reserve	reserva
raid	raid
notion	noção
Milo	Milo
Melanie	Melanie
income	renda
immune	imune
hay	feno
grandma's	da avó
expects	espera
edition	edição
Easter	Páscoa
destined	destinado
constitution	constituição
classroom	sala de aula
boobs	mamas
bets	apostas
bathing	banhos
appreciation	apreciação
appointed	nomeado
accomplice	cúmplice
Whitney's	Whitney's
wander	vaguear
shoved	empurrado
sewer	esgoto
seeking	buscando
scroll	pergaminho
retire	aposentar-se
peach	pêssego
paintings	pinturas
nude	nua
lasts	dura
fugitive	fugitivo
freezer	freezer
et	et
discount	desconto
cranky	cranky
crank	manivela
clowns	palhaços
clearance	liberação
buffalo	búfalo
bodyguard	guarda-costas
anxiety	ansiedade
accountant	contador
Abby's	Abby's
whoops	whoops
volunteered	voluntário
terrorist	terrorista
tales	contos
talents	talentos
stinking	fedorento
snakes	serpentes
sessions	sessões
salmon	salmão
resolved	resolvido
remotely	remotamente
protocol	protocolo
nickel	níquel
nana	nana
Livvie's	Livvie's
jt	jt
garlic	alho
foreman	capataz
decency	decência
cord	cordão
beds	camas
beam	feixe
asa's	asa's
areas	áreas
altogether	ao todo
uniforms	fardas
tremendous	tremendo
summit	cúpula
squash	squash
restaurants	restaurantes
rank	posição
profession	profissão
popping	popping
Philadelphia	Filadélfia
peanuts	amendoins
outa	outa
observe	observe
myrtle	myrtle
lung	pulmão
largest	maior
hangs	pendura
feelin	feelin
experts	especialistas
enforcement	aplicação
encouraged	incentivado
economy	economia
Duncan	Duncan
dudes	gajos
donation	doação
disguise	disfarce
diane's	diane's
curb	freio
continued	continua
competitive	competitivo
businessman	homem de negócios
bites	mordidas
balloons	balões
antique	antiguidade
advertising	publicidade
ads	anúncios
toothbrush	escova de dentes
Rupert	Rupert
Roxie	Roxie
retreat	retiro
represents	representa
realistic	realista
profits	lucros
predict	preveja
panties	calcinha
Nora's	Nora's
lust	luxúria
lid	tampa
Leonard	Leonard
landlord	locador
Kent	Kent
hourglass	ampulheta
hesitate	hesite
Frank's	Frank's
focusing	focalizando
equally	igualmente
consolation	consolação
champ	campeão
boyfriend's	do namorado
babbling	balbuciando
Angie	Angie
aged	com idade
Virgil	Virgil
Troy's	Troy's
tipped	
stranded	encalhado
smartest	mais inteligente
sg	sg
Sabrina's	Sabrina's
Richie	Richie
rhythm	ritmo
replacement	substituição
repeating	repetindo
puke	vômito
psst	psst
Perry	Perry
paycheck	cheque de pagamento
overreacted	exagerado
mechanic	mecânico
macho	macho
ling	ling
leadership	liderança
Lawson	Lawson
Kendall's	Kendall's
juvenile	juvenil
John's	John's
images	imagens
grocery	mercearia
Geller	Geller
freshen	freshen
Dwight	Dwight
Drucilla	Drucilla
Drake	Drake
disposal	eliminação
cuffs	algemas
consent	consentimento
cartoon	cartoon
caffeine	cafeína
broom	vassoura
biology	biologia
arguments	argumentos
agrees	concorda
Abigail's	Abigail's
vanished	desapareceu
unfinished	inacabado
tobacco	tabaco
tin	lata
tasty	saboroso
syndrome	síndrome
stack	pilha
sells	vende
ripping	rasgando
pinch	beliscar
Phoenix	Fênix
missiles	mísseis
isolated	isolado
flattering	lisonjeador
expenses	despesas
dinners	jantares
cos	cos
colleague	colega
ciao	ciao
buh	buh
Belthazor	Belthazor
Belle's	Belle's
attorneys	advogados
Amber's	Amber's
woulda	woulda
whereabouts	onde
wars	guerras
waitin	espera em
visits	visitas
truce	tréguas
tripped	tropeçou
tee	tee
tasted	provado
Stu	Stu
steer	boi
ruling	decisão
Rogers	Rogers
rd	rd
poisoning	envenenamento
pirate	pirata
nursing	enfermagem
Maxine	Maxine
manipulative	manipulador
Mallory	Mallory
Lillian	Lillian
immature	imaturo
husbands	maridos
heel	calcanhar
granddad	vovô
delivering	entregando
deaths	mortes
condoms	preservativos
butts	beatas
automatically	automaticamente
anchor	âncora
addict	viciado
Trish	Trish
trashed	lixo
tournament	torneio
throne	trono
Teresa	Teresa
slick	mancha
sausage	salsicha
raining	chuvas
prices	preços
pasta	macarrão
Paloma	Paloma
needles	agulhas
leaning	inclinado
leaders	líderes
judges	juízes
ideal	ideal
detector	detector
coolest	mais legal
casting	fundição
bean	feijão
battles	batalhas
batch	lote
approximately	aproximadamente
appointments	compromissos
almighty	todo-poderoso
achieve	conseguir
vegetables	legumes
trapper	caçador
swinging	balançando
sum	soma
spark	centelha
ruled	governado
